Wallet statement;;;;;;;;;;
Address count with BTC balance:;1;;;;;;;;;
Starting balance 2023-01-15;0;BTC;0;USD;;;;;;
Ending balance 2024-04-17;0;BTC;0;USD;;;;;;
Total received;2,68903734;BTC;;;;;;;;
Total sent;2,68903734;BTC;;;;;;;;
Total received from external wallets;2,68903734;BTC;;;;;;;;
Total sent to external wallets;9,83291646;BTC;;;;;;;;
;;;;;;;;;;
Types legend;;;;;;;;;;
External receiving;An event that replenishes an address from your list, where the sending address is not an address from your list.;;;;;;;;;
External spending;An event that reflects a spend from an address on your list to an external address that is not an address on your list.;;;;;;;;;
Inner fee;Commission that was spent by the address from your list.;;;;;;;;;
Inner;Event where the recipient address and the sender address are addresses from your list;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Start period;15/01/2023;;;;;;;;;
End period;17/04/2024;;;;;;;;;
Transactions involving the addresses:;;;;;;;;;;
Tx number;Effect;Ticker;Amount fiat (USD);Asset rate (USD);Type;Date;Public key;Wallet address;Third-party address;Transaction hash
63;-0,0242536;BTC;-999,15;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
64;-0,022718;BTC;-935,89;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
65;-0,050213;BTC;-2068,57;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
66;-0,135109;BTC;-5565,95;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
67;-0,01900875;BTC;-783,08;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
68;-0,00598141;BTC;-246,41;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
69;-0,01079;BTC;-444,5;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
70;-0,00186255;BTC;-76,73;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
71;-0,2070714;BTC;-8530,51;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
72;-0,0473997;BTC;-1952,68;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
73;-0,04599842;BTC;-1894,95;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
74;-0,110403;BTC;-4548,16;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
75;7,1514411;BTC;294610,77;41196;External spending;19/01/2024 13:23;;;bc1qxt0tzc9lds6tqg8lm6cc2g7c3f9ztjm8apmy7u;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
76;-0,07400728;BTC;-3048,8;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
77;-0,01203002;BTC;-495,59;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
78;-0,01206525;BTC;-497,04;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
